Churn_,Day_Mins,CustServ_Calls,VMail_Message,Eve_Mins,Intl_Mins
True,282.5,1,0,219.9,9.4
False,113.7,2,36,157.5,10
False,239.8,2,0,214.8,8.7
False,210.2,1,0,227.3,13.1
False,213.8,0,22,141.8,7.2
False,190.7,3,0,183.5,9.8
False,170.9,1,0,132.3,11.6
False,154.2,2,0,110.2,9.2
True,70.7,4,0,157.5,9.1
False,91.7,2,0,193.7,9.2
False,214.2,3,36,161.7,9.5
False,145.5,3,0,217.7,10.9
False,166.3,1,0,158.2,6.1
False,231,1,0,230.4,9.5
False,197,1,0,202.6,9.1
False,129.9,3,0,173.3,11.2
False,175.8,5,21,217.5,5.3
False,203.1,3,0,210.1,12
False,183.2,1,36,126.8,11.2
False,205,2,23,152,10.2
False,148.5,1,0,276.4,12.4
False,200.3,0,39,220.4,10.5
False,192.6,3,28,195.5,6.8
False,246.5,1,0,195.5,11.7
True,167.1,2,0,177.5,14.1
False,231.9,3,0,160.1,14.3
False,146.7,1,0,203.5,13.7
False,271.5,1,0,216.3,11.7
False,181.5,1,0,218.4,8.5
False,257.7,2,43,162.1,11.1
False,193.8,1,0,221.4,10.6
False,102.8,1,0,206.7,10.1
False,187.9,1,0,157.6,7.5
False,226,1,0,248.5,6.9
False,260.4,5,0,146,11.5
False,178.7,0,0,292.1,9.8
True,337.4,0,0,227.4,15.8
False,142.1,1,24,183.4,9.6
False,136.3,0,0,172.2,7.1
False,217.1,0,0,241.5,12
False,187.5,3,36,241.4,10.5
False,98.9,1,0,135.4,12.2
False,206.3,1,0,148.6,6.1
False,243.1,2,33,213.8,12.1
False,189.8,1,31,163.3,7.5
False,202,1,0,243.2,10.9
False,170.1,1,38,193.3,12.8
False,230.9,0,0,187.4,6.3
False,237.1,1,0,223.5,13.2
False,182.1,2,27,169.7,10.6
False,119.3,3,0,211.5,10.5
False,116.8,1,0,178.9,14.1
False,219.2,0,0,149.4,6.1
False,252.6,2,0,169,11.1
False,147.1,0,0,190.4,12.2
False,202.1,2,0,229.4,11.5
False,173.5,3,0,194.1,16.2
False,197.1,4,23,214.5,9.5
True,58.2,5,0,138.7,11.9
False,186.1,2,0,254.3,14.6
False,259.9,3,0,245,8.4
False,214.3,1,0,268.5,10.8
False,158.7,1,0,64.3,10.2
False,271.6,2,0,229.4,10.9
False,160.6,1,0,163.2,9
False,232.4,1,0,187.4,9.1
False,133.8,0,0,180.5,8.9
False,176.9,1,0,90.7,9.5
False,209.9,2,0,195.1,8.8
False,289.5,1,23,166.6,9.5
False,198.1,1,23,177,6.8
False,149.7,0,0,182.2,9.7
True,292.9,4,26,199.7,13.8
False,83,0,0,177,13
False,145.7,3,24,220.5,13.1
False,182.3,2,0,328.2,11.2
False,140.6,2,0,178.6,6.8
False,152.7,1,0,257.5,9.4
False,106.7,1,36,209.8,12.1
False,243.8,2,0,83.9,13.7
False,194.4,3,0,186.7,10.8
False,213.9,3,0,151.9,12.2
False,217.2,3,0,246.7,15.8
False,241.1,1,0,155.6,11.6
False,203.5,0,0,247.6,11.9
False,155.2,1,24,244.5,10.7
False,167.6,1,31,113,12.2
True,226.7,2,0,228.1,17.6
False,179.3,3,0,178.6,11.5
False,151.4,0,0,186.4,10.9
False,180,3,0,224.2,4.7
True,250.2,1,0,267.1,13
False,223,0,0,110.1,7.1
False,183.6,3,0,152.6,12.2
False,166,1,22,174.5,10.2
False,136.1,1,0,272.9,4.4
False,149.3,2,0,242.2,8.9
False,65.4,2,0,168.2,13.8
False,213.4,1,0,234.5,2.7
False,206.9,3,0,244.7,7.7
False,186.2,2,27,189.6,9.6
False,280.2,4,23,220.5,13.3
False,196.6,0,22,313.2,11.9
True,312,0,0,129.4,10.5
False,199,1,36,291.3,11
False,203.1,3,0,217,13.5
False,168.8,0,0,220.3,10.9
False,173.1,1,0,240.3,9
False,202.6,2,40,118.8,9
False,74.5,3,0,200.8,9.8
False,83.6,0,0,120.9,10.7
False,192.2,1,0,168.6,9.4
False,220.2,0,0,88.3,12.9
True,135.1,2,0,134.1,12.3
False,253.4,1,0,182.4,8.4
False,225,3,0,176.9,7.1
True,198.5,0,0,267.8,9.4
False,110.3,0,0,166.5,9.5
False,214.8,0,0,149.7,10.2
False,181.8,4,0,202.4,9.2
True,157.4,4,29,117.9,13.9
False,207.9,4,0,172,14.4
False,207,3,0,232.9,9.1
False,119,0,41,230,9.5
False,143.7,0,0,273,10.9
False,138.6,1,0,172.3,9.8
False,84.7,1,0,249.9,14.5
True,62.6,1,0,180.6,10.4
False,155.2,1,0,235.3,8.7
False,164.9,1,25,209.3,6.7
False,134.5,1,0,143.1,15.4
False,143.3,1,0,211.3,11.5
False,168.3,1,0,221.2,12.5
False,262.4,2,0,194.6,8.3
False,206.2,1,30,260,11.4
False,225.8,4,28,193,8.4
False,138.3,3,0,170.5,13.5
False,94.4,0,48,136.2,4.5
False,160,2,0,175.4,9.9
False,134.7,1,0,180,7.7
False,214.4,3,28,235.2,8
False,192.8,3,0,234.4,13
False,151.1,1,28,194.8,10
False,221.4,3,0,231.8,9.8
False,218.9,0,0,208,11.1
True,189.8,2,48,123.4,6.5
False,192.7,2,25,225.9,10.9
False,172.3,2,0,174,13
False,198.4,2,0,210.9,10.4
False,221.6,1,28,288.4,9
False,197.9,3,0,181.5,6.7
False,147.5,2,24,175.7,15.6
False,206.4,2,0,128,8.8
False,205.9,2,0,209.3,14.5
False,207.6,0,0,132.4,14.1
True,303.9,1,0,260.9,5.3
False,230.6,0,34,219.4,8
False,99.5,0,0,129.1,9.7
False,177.1,1,0,194,5.9
True,172.7,5,37,120.1,10.3
False,172.7,1,18,133.4,9.8
False,204.2,1,0,179.9,9.5
False,85.7,2,0,247.7,10.1
False,157.6,0,0,184.3,11.9
False,215.5,4,0,218.7,6.6
False,181.5,1,0,199.9,6.6
False,171.7,2,0,110.4,11.9
True,266.6,1,0,264.8,5.9
True,170.4,0,0,350.5,11.2
False,158,1,0,292.5,9.1
False,92,1,0,253.6,10.3
False,234,2,0,249.5,9.1
True,272.1,1,0,268.5,8.5
False,194.4,0,0,190.3,11.4
False,227.2,3,0,258.4,8.9
True,248.7,1,0,220,13.2
False,236.3,1,38,195.9,9.7
False,205.6,0,0,169.5,10.9
False,94.1,0,0,280.3,9.8
False,125.2,0,0,205.4,18.9
False,60.4,1,0,306.2,12.4
False,121,2,28,270.4,7.7
False,117.8,3,29,256.8,7.6
False,232.4,3,21,211.9,5
True,223.5,2,32,188.8,9.4
False,176.3,0,0,259.2,6.2
False,125.2,1,32,177.8,12.9
False,138.7,0,0,256.9,10
False,86.3,1,0,246.6,11.3
False,207,3,0,154.9,13.4
False,58.8,0,30,219.5,7.1
False,68.7,1,35,209.2,11.4
False,239.2,1,33,235.5,9.5
False,198.3,0,0,217.1,12.5
False,192.1,3,0,312.9,7.9
True,272.6,1,0,248.7,9.5
True,128.3,7,0,197.1,12.2
False,169.6,0,0,264.1,9.3
False,201.3,1,0,152.8,7.5
False,214.7,1,17,138.5,8.6
False,169.2,0,0,271.5,10.6
False,194.1,2,0,176.6,7
False,233.8,2,0,266.5,7.6
False,225.1,0,0,199.2,14.6
True,213,1,0,176.6,9.1
False,183.9,1,0,255.9,10.8
False,64.6,2,21,176.1,0
False,260.2,3,0,179.2,7.2
False,161.6,1,33,123,12.2
False,220.6,1,0,155.2,10.5
False,155.9,3,41,162.3,13.1
True,107,4,0,105.7,12.8
False,220.1,4,38,234.3,10.1
False,152.2,1,0,177.2,5.3
False,181.5,2,0,205.1,14.7
True,236.2,2,0,218.6,13.2
False,166.1,1,0,79.3,12.7
False,244.6,1,0,188.8,11.3
False,134.2,2,23,227.3,8.5
False,149.7,1,39,211.1,9.2
False,150.1,1,29,264.7,5.8
True,257.1,1,0,312.2,8.8
False,124.4,0,0,179.7,11.3
False,141.7,1,36,232.3,12
False,162.3,0,0,213.7,10.9
True,350.8,1,0,216.5,10.1
False,193.3,4,0,264.1,9.1
False,195.6,0,0,267.8,16
True,218,0,0,114.4,12.4
False,164.8,2,0,229.9,14.8
False,179.2,2,0,210.7,9.2
False,214,0,21,180,10.6
False,170.5,2,0,118.2,11.2
False,205.7,1,0,214.5,6.7
True,165.5,1,0,286.2,11.5
False,221,2,0,160.7,6.8
False,242.1,3,0,191,14.7
False,151.6,1,0,155.4,14.7
False,176.2,0,0,145,5.7
False,196,1,22,322.7,3.7
False,159.5,2,0,247.1,7.2
False,230.2,4,0,220.4,10.7
False,146.7,3,0,274,8.9
False,210.5,1,0,204.5,8.5
False,102,1,0,270.2,10.7
False,126,3,0,238.5,10.2
False,168.4,1,0,243.8,11.1
False,105.6,0,0,258.2,8.7
False,206.5,5,0,176.2,12.4
False,217.1,2,0,205.2,9.4
True,229.6,0,0,205.7,10.8
True,234.4,1,0,279.3,2
False,181.5,1,0,130.7,8.5
True,167.3,1,0,230,10.6
False,121,1,31,218.9,12
False,221.1,0,0,110.8,10.6
False,145.8,1,26,192.2,9.9
False,222.8,1,0,163.2,11.2
False,183.4,4,0,242,7.5
False,264.3,0,0,160.9,9.3
False,146,0,0,109.7,6.8
True,157.1,4,0,184.9,8.5
False,127.3,1,0,251.3,10.3
False,187.9,2,0,197,4.8
False,178.8,2,0,141.2,8.4
False,97.2,2,0,186.2,10.4
False,259.8,0,0,242.3,5.4
False,256.5,3,0,199.5,7
True,239.7,2,0,282.9,8.7
False,142.3,1,34,194.8,16
False,184.1,2,0,327,7.5
False,206.9,2,28,264.4,9.3
False,259.9,1,0,176.2,15.3
False,203.8,0,0,283.1,12.5
False,248.8,3,45,140.3,10.3
False,221.6,1,16,130.2,11.3
False,192.9,1,0,185.5,10.9
False,122.4,1,0,113.4,12.5
False,104.9,1,40,216.3,9.6
False,173.2,3,0,196.8,11.2
False,119.4,2,0,273.3,12.4
True,250.3,2,0,260.6,13.3
False,178.3,1,0,282.6,11.4
False,243.4,1,0,182.1,12.8
False,155,2,0,175.3,11.8
False,240.4,1,29,118.9,11.2
False,190.3,1,0,301.3,8
True,278,0,0,176.7,8.3
False,155,1,0,330.6,13.5
False,153.5,2,0,197.6,6.3
False,273.4,1,27,154,12.3
False,155.3,0,0,265.7,12.4
False,133.1,1,29,221.2,6.8
False,246.8,1,0,187.8,12.6
False,165.4,2,0,196,9.6
False,59.5,0,0,257.2,11.1
False,138.3,3,0,236,9.6
False,286.7,2,0,134.4,6.9
False,117.3,1,0,201.1,12.2
False,264.3,4,21,202.8,6.3
False,127.9,0,0,271.2,12.5
False,225.5,0,23,246.3,9.8
False,149,0,0,245.3,8.3
False,198.9,1,20,274,14.3
True,256.4,1,0,273.9,11.1
True,264.8,1,0,245.4,14.8
False,159.8,2,0,264,9.7
False,184,0,0,120.4,11
False,261.8,1,0,220.6,9.6
False,147.9,3,0,228.4,9.6
False,106.4,1,18,108.1,10.1
False,133.7,0,0,195.3,5.9
False,193.5,0,23,220.2,8.5
True,178.2,3,0,167.8,13.6
True,226.2,3,36,181.6,10.5
False,170.4,1,0,200.2,11.6
False,70.9,3,32,166.7,11.1
False,240.3,1,0,164.6,10.6
False,75,3,0,248.7,9.5
False,69.1,1,0,136.3,6.3
True,96.6,4,33,315.4,6.2
False,148.5,3,0,146.5,9.9
False,258.1,1,0,161.4,11.7
False,149.8,1,0,164.4,8.1
False,190.4,2,0,158.1,11.2
False,181.4,1,0,253.8,11.6
False,151.1,1,0,187.4,5.3
False,149.9,2,0,256.1,13.3
False,222.3,3,0,231.5,11
False,233.8,0,0,221.6,12.8
False,204.2,0,0,292.6,10.5
False,242.9,1,0,209.8,0
False,150.4,1,0,230.5,12.3
False,208.9,0,0,252.4,12.8
False,273.6,1,0,114.6,8.2
False,156.1,2,0,180.3,11.1
False,178.7,2,36,178.6,8
False,177.5,2,0,287.4,11.9
True,211.3,4,0,105.6,9.7
False,114.3,3,23,190.3,12.6
True,216.9,1,0,207.4,17.5
False,217.2,0,26,145.5,9.3
False,206.3,0,0,154.9,12.4
False,159.3,1,0,125.9,11.1
False,143.1,2,31,236.6,11.4
False,186.6,1,24,222,11.6
True,170.8,5,26,199.5,9.6
False,124,1,17,202.9,12.3
False,198.3,3,0,279.3,14.8
False,172.8,2,0,204.8,9.1
False,217.4,0,30,213.8,6.6
True,265.9,0,29,215.8,14
False,93.6,1,14,193.8,17.5
False,214.7,2,0,158.6,9.4
False,168.2,1,0,224.7,12.9
False,202.9,3,0,153.8,9
False,261.4,1,0,154.5,11.6
False,253.7,7,27,229.2,9.2
False,45,2,0,151.3,9.8
False,231.3,1,0,171.7,13
False,47.4,2,0,167.8,10.5
False,227.4,0,0,182.5,12.5
False,40.9,0,22,133.4,11.9
False,124.8,2,0,157.3,8.6
False,68.5,0,0,337.1,12.1
False,163.5,2,37,203.1,7.8
False,163,2,0,219.1,6.7
False,213.7,2,38,253,10.7
False,201.3,1,36,42.2,5.4
False,310.4,4,0,66.5,9.2
False,171.2,1,40,145.7,14
False,166.5,0,22,183,8.5
False,216.6,0,0,190.8,12.4
False,107.8,2,0,216.6,9.9
False,141.3,1,28,168,7.8
False,209.9,0,29,158,6.6
True,237.5,9,20,253.4,14.2
False,234.5,3,0,216.5,3.5
False,103.1,3,31,243,12.2
False,129.5,1,27,248.9,11.9
True,279.8,2,0,248.7,8.4
True,136.8,5,41,200.8,10.3
False,100.1,0,31,246.3,5.9
False,237.1,4,31,205.6,10.1
True,172.8,4,0,183.1,7.9
False,224.5,2,0,200.7,11.5
True,288.1,3,0,258,10.2
False,78.2,2,0,195.9,10.1
False,148.7,2,0,259,12.7
False,194.6,2,25,119.9,13.1
False,159.5,0,0,303.8,12
False,194.5,1,20,213.7,9.5
True,174.1,2,0,251.1,8.3
False,131.8,2,0,136.7,7.7
False,146.8,0,18,310,7.2
False,200.7,1,28,264.2,9.1
False,145.6,1,0,98.3,10.9
False,229.4,2,29,257.4,8
False,211,3,0,189,4.7
False,121.5,2,37,271.4,11.3
False,216,2,0,188.2,3.6
False,293,2,0,160.6,10
True,221.1,2,32,264.9,15.4
False,181.5,1,0,196.9,10.3
False,74.3,2,26,177.3,14.5
False,228.6,3,31,248.5,9
False,309.9,1,36,200.3,14.2
False,201.9,3,0,226.8,13.7
False,149.8,2,0,180,11.7
False,183.8,1,30,229.7,7.7
True,209.4,1,0,347.3,7.4
False,164.2,1,0,155.4,10.7
False,150.5,1,0,193.1,10.3
True,234.2,0,0,293.1,9.8
False,55.3,1,0,164.7,10.2
False,169.6,1,0,58.9,7.4
True,89.7,5,0,260.1,13.5
False,80.2,1,14,219,8.6
False,218.9,2,0,299.9,11.3
False,125.7,1,0,207.6,12.9
False,176.3,2,0,93.4,9.6
False,207.2,2,29,254.1,9.5
False,205.7,2,0,161.9,12.5
False,151.4,1,28,152.4,0
False,160.4,2,0,102.6,9.1
False,159,1,0,167.9,12.3
False,214.1,0,46,200.9,9.2
False,102.6,2,0,246,9.1
True,159.7,0,0,197.5,13.9
False,202.8,1,0,165.8,4.6
False,169.9,1,0,225.2,11.4
True,335.5,2,0,212.5,12.7
False,139.5,0,0,289.3,13.1
False,187.8,0,0,248.6,10.6
False,146.2,3,0,261.5,8.7
False,193.7,1,0,154.2,12.7
False,156.4,4,0,233.4,7.7
True,220.7,1,29,217.7,13.2
False,239.8,2,37,221.9,7.3
False,172,1,43,200.2,8
False,130.2,3,0,290.9,14
False,195.4,1,0,154.6,11.6
True,293.3,0,0,188.5,14.5
False,191.3,1,0,193.9,12.8
False,122.4,1,0,143.8,11.5
False,209.6,2,33,146.9,10.6
False,215.7,3,0,146.3,7.1
False,144.2,3,0,226.7,13.8
True,220.2,0,37,185.3,4.1
False,256.2,4,0,160.7,7.4
False,112.7,1,0,217.7,6.5
True,299.5,0,0,226.7,13.7
False,194.8,0,0,170.9,13.9
False,100.8,0,0,230,9.5
False,82.5,3,22,289.9,4.8
False,146.4,2,34,89.7,15.6
False,177.9,2,0,224.6,10.8
False,153.5,5,27,194,10.2
False,150.7,1,0,197.3,9.2
False,180.1,0,19,127.5,7.5
False,265.3,1,31,147.6,12.9
False,128.6,0,0,134,11.4
False,161.5,2,0,173.5,7.9
False,165.3,1,0,198.5,9.8
False,195,0,0,210.5,11
False,205.5,1,24,219.3,14
False,252.9,3,22,177.9,8.5
False,235.6,0,28,227.9,15.4
False,192,1,0,127.6,7.5
False,69.1,0,39,101.3,9.1
True,261.7,3,0,210.6,6
False,235.5,2,0,257.2,11.5
False,206.9,3,39,127.8,9.2
False,263.8,3,22,103.4,8.5
False,183.4,1,31,195.5,10.5
True,157.6,5,0,194.1,9.4
False,175.6,0,0,161.8,9.3
False,242.5,2,0,102.8,9.3
False,151,0,0,131.4,9.9
False,138.1,1,0,164.5,8.3
True,264.7,1,0,305,9.5
False,211.2,0,0,237.7,12.3
False,197.1,3,0,130.1,7.4
False,205.3,1,0,166.7,7.8
False,181.8,2,22,228.1,9.2
False,252,2,0,150.2,9.6
False,193.8,0,0,118.9,9.2
False,231.2,1,0,188.7,12.3
False,200.1,0,33,188.9,15.5
False,266.7,1,26,232.3,16.3
False,118.1,2,36,221.5,11.9
False,175.3,0,0,144.3,11.8
False,125.1,3,0,248.8,11.2
False,241.9,1,0,129.4,5.9
False,241.2,0,0,116.5,10.6
False,217.1,1,0,236,9.4
False,195.4,0,0,181.2,8.9
True,222.4,1,0,327,8.7
False,189.5,1,0,189.8,13.1
False,123.1,0,0,158.4,9.3
False,256.7,3,38,150.5,11.4
False,30.9,1,32,187,8.6
False,223.2,3,0,214.4,10.1
False,187.4,1,0,199.9,12.6
False,315.6,3,21,208.9,12.1
False,277.5,1,0,131.8,8.2
False,189.8,2,0,197.3,14.9
False,147.2,1,0,192.8,10.2
False,185.8,4,0,276.5,5.7
False,155.4,3,29,188.5,8
False,154.2,6,0,268.6,10.9
False,97.6,1,0,105.5,11.6
False,178.8,1,0,178.4,7.5
False,149.3,0,0,273.6,9.1
False,206,0,0,186,8.4
False,216.8,0,0,190.8,11
False,103.3,0,0,129.1,10.7
False,139.4,0,0,159.1,7.7
False,191.2,1,0,163.9,14.1
False,160,1,23,189.4,10.4
False,221.7,3,0,193,6.5
False,62.9,1,0,231,8.5
False,215.6,1,0,195.3,3.6
False,165.3,3,42,223.5,7.6
False,94.7,2,32,154.4,10.6
False,203.2,2,0,152.5,9.7
False,195.3,3,0,216.7,12.5
False,143.7,4,0,297.8,11.4
False,114.4,2,0,78.3,0
False,222.8,2,0,203,6.9
False,175.9,2,22,211.7,7.3
True,249.9,1,0,242.5,15.3
False,234.5,2,30,195.2,11.4
False,182.3,1,0,169.9,9.3
False,190.3,2,0,194.5,11.7
False,177.1,0,38,163.7,7.4
True,87.2,6,36,169.3,10.9
False,215.6,1,0,193.4,13.5
False,137.4,3,0,237.6,14
False,192.8,1,36,177,16.4
False,149.3,2,0,200.2,11.9
False,143.7,1,0,170.7,7.8
False,224.8,1,0,190,9.2
False,261.2,2,39,214.2,12.7
False,196.5,0,26,175.8,13.4
True,271.2,3,0,202.6,11.5
False,207.2,2,0,292.5,8
False,300.4,2,0,133.2,7.2
False,229.6,2,37,132.3,9.5
False,187.5,1,20,169.8,12.1
False,57.1,3,0,199.7,6.5
True,145,2,0,175.8,16.7
False,159.5,1,0,240.8,11.4
False,190.7,1,0,208.6,8.8
False,230.6,1,20,189.1,9.4
False,34,0,0,278.6,11.5
False,193.4,5,17,240.6,11.4
False,202,1,0,163.5,10.4
False,191.7,1,0,241.4,9.1
False,161.3,1,26,250.3,6.6
False,150.6,1,0,119,6.4
False,220.7,1,0,270.2,8.7
False,167.3,1,0,198.5,11
False,154,3,32,185.5,8.2
False,121.1,0,29,186.4,10.1
False,182.1,3,23,164.6,12.7
False,109.6,2,0,137.6,11
False,209.9,1,0,121.9,9.6
False,213.9,2,0,239.8,9.8
False,115.8,1,0,243.3,13.1
False,276.6,2,30,220.1,9.8
False,179.4,2,21,181.1,9.5
False,187.3,1,0,270.8,10.1
False,186.8,0,35,261,15
False,153.5,0,31,219.1,11.4
False,187.6,2,0,208.2,8.7
False,244.9,2,26,118,15.2
False,230.9,3,0,223,9.7
False,187.1,1,0,250.2,11
True,126.9,5,28,166.9,8.8
False,189.5,0,0,207,9.2
True,176.9,1,0,167.9,7.7
False,161.1,1,0,198.8,10.6
False,169.4,1,0,197.2,10.7
False,254.4,0,20,161.7,10.5
False,127.7,2,24,215,5.8
False,170.5,6,26,217.2,13.6
False,219.1,2,0,242.9,10.1
False,273.5,2,0,183.8,11
False,161.9,1,0,200.9,10.7
False,241.7,1,27,142,9.4
False,62.8,3,0,170.4,9.4
False,228.2,3,0,263.7,10.7
False,209.8,0,0,194.5,11.3
True,265.6,2,0,208.8,11.1
False,110.5,3,0,223.2,10.5
False,137.8,2,0,286.3,14.1
True,271.5,1,33,253.4,8.2
False,112.8,2,0,218.8,9
False,187.3,1,0,239.7,15.1
False,197,1,0,269.3,10.8
False,180.4,1,32,129.4,8.4
True,148.5,1,0,219.4,14.5
False,197.1,2,22,259.4,14.6
False,153.7,1,26,137.8,15.9
False,261.3,1,27,220.9,11.3
False,191,0,0,318.8,6.5
False,208.3,1,0,253.6,12.6
False,253,0,0,219.3,9.8
False,202.3,0,0,201.5,6.8
False,174.4,0,0,156.3,10.2
False,127.1,1,30,172.1,12.1
False,143.5,0,16,242.6,11.3
False,186.9,1,17,240,5.8
False,194,1,0,242,12.1
False,234.8,0,0,106.8,9.9
False,123.7,1,0,103,13.1
False,173.9,0,0,276.4,15.3
False,130.9,1,41,203.4,12.4
True,314.6,2,0,169.8,5.7
False,227.9,1,0,207.5,12.1
False,95.5,2,0,163.7,6.6
False,185.3,1,0,208,15.1
False,146.3,1,0,202.7,13.1
False,105.8,0,0,43.9,13.1
False,178,1,0,153.8,11.7
False,209.4,2,0,132.5,11.3
False,172.1,1,0,211.7,11.6
False,169.3,1,0,217.9,9.4
False,194.2,2,0,173.4,5.5
False,198.8,2,0,230.1,9.9
True,167.7,3,0,93.7,13.4
False,202.2,2,0,216.8,11.8
True,322.5,2,0,204.6,9.4
False,216.2,0,0,215.6,10.2
False,76.4,3,0,115.6,9.4
False,72.7,1,0,208.6,9.9
False,210.4,0,31,225.5,9.7
False,127.2,0,33,162.9,8.1
False,201.8,1,28,304.9,11.9
False,219.5,1,17,222.1,16.1
False,99.3,3,0,270.5,9
False,239.2,5,0,150,10.3
False,120.9,2,0,235,11.4
False,224.7,1,0,129.4,15.8
False,176.6,1,19,162.7,14.6
False,283.9,1,51,192,10
True,180.6,1,0,190.9,10.3
False,125.9,1,31,196.4,10.3
False,237.6,0,0,192.4,9.1
False,198.4,2,0,264.7,9.2
False,274.3,0,0,52.9,10.9
False,217.7,3,0,273.5,9.6
False,212.7,2,24,257.5,9.7
False,256.3,2,0,180.2,6.2
False,183.6,1,0,120.7,12.7
False,176.2,1,0,196,9.2
False,205,1,37,165.4,11.7
True,267.9,3,0,223,11.3
False,179.2,2,0,175.2,9.9
False,149.4,1,0,196.5,14.9
False,163.6,3,38,146.7,13.1
False,165.4,3,0,183.7,8.9
False,209.8,4,0,171.3,9.9
False,220.1,0,27,268.2,11.1
False,141.3,1,0,154.3,8.2
False,196.5,0,0,241.3,4
False,180.9,2,0,209.5,7.4
False,105,0,0,251.6,14.9
True,271.4,4,0,190.4,11.1
False,206.7,1,43,174.6,10.9
False,166.8,1,0,236,9.3
False,204.9,5,0,135.2,10.4
False,127,1,0,323.2,7.5
False,267.4,1,0,204.2,5.9
False,281,1,0,160.6,0
False,270.8,4,33,220.4,11.8
False,171.2,1,0,185.6,10.2
False,124.1,3,0,202.6,6.7
False,162.8,1,0,290.3,7.2
False,146.3,1,0,255.9,8
False,254.8,2,0,143.4,15
False,254.9,2,26,243.2,5.4
False,107.7,0,31,188.9,8.9
False,158.8,1,0,264.8,7.6
False,182.9,2,0,239.6,5.5
False,198.5,0,0,42.5,12.4
False,178.4,0,0,233.6,12
False,110.9,1,0,158.5,6.2
True,166.9,1,27,221.2,12.3
